BAJAJ-AUTO,BAJAJ-FINSV,BAJAJ-FINANCE
1754.8,359.45,343.1
1732.05,360.25,340.8
1740.05,351.75,345.7
1713.15,349,343.6
1683.1,350,349.85
1655.25,351.55,358.7
1669.55,343.1,345.2
1703.7,339.45,327
1707.6,340.15,335.75
1709.2,343.55,339
1726.9,346.4,349.45
1735.7,352.75,339.1
1776.25,352.15,339.25
1820.55,347.95,329.1
1798.1,348.5,329.4
1786.8,343.45,326.75
1731.9,325.8,317
1670.3,320.9,317.8
1683.6,318.6,308.5
1747.7,330,309.65
1713.45,330.35,301.95
1685.2,338.2,304.1
1709.9,339.85,299.15
1683.55,346.85,294.1
1683.75,343.7,291.6
1721.3,359.5,290.45
1699.15,348.6,296.45
1728.6,341.1,294.2
1773.2,337.75,291.8
1788.75,337.85,288.2
1792.65,332.05,290.95
1797.5,330.35,309.65
1839.15,330.75,301.3
1812.5,330.05,297.7
1806.6,330.05,295.55
1801.35,331.5,297.65
1721.8,330.3,291.9
1747.45,331.55,285.15
1712.35,347.1,300.35
1817.65,346.9,314.65
1848.45,341.6,321.25
1878.45,338.15,320
1890.45,337.05,322.3
1901.05,334.2,320.8
1914.45,337.4,322.5
1874.25,344.7,321.2
1849.9,338.15,312.65
1826.1,330.8,319.8
1842.1,329.95,312.85
1829.6,330.55,311.8
1821.6,329.9,313.35
1810.35,329.45,312.5
1840.15,329.8,311.15
1864.9,317.9,310.65
1851.8,318.8,306.75
1848,317,304.65
1880.6,322.05,313.35
1977.9,324.3,315.4
1983.75,336.45,323.45
1981,336.15,320.35
2014.8,344.9,325.7
1997.1,346.55,329.7
2095.9,342.9,331.4
2040.6,342.3,335.8
2077.45,349.95,334.05
2074.85,359.1,336.65
2068.3,359.6,352.6
2074.1,352.65,353.3
2097.9,326.95,345.25
2088.75,307.95,368.45
2050.5,305.85,374.9
2010.8,313.35,385.85
2075.45,318.75,399.8
2093.3,321.4,403
2114.55,321.95,406.25
2107.35,327,408.55
2084.4,323.6,419.55
2027.95,326.95,420.55
2065.25,339.2,425.6
2078.8,343.95,428.8
2093.35,345.2,425.75
2094.6,339.1,423.6
2070.45,398.1,442.35
2073.55,412.9,432.05
2066.55,398,425.4
2057.8,438.75,435.85
2121.4,433.7,429.25
2125.95,468.7,437.85
2145.5,511.85,475.65
2203.65,537.05,492.15
2184.15,532,493.9
2166.95,486.3,483
2182.2,467.8,473.9
2141.65,451.95,472.2
2136.4,457.35,474.75
2098.75,429,451.8
2052.45,424.7,433.3
2018.55,441.15,450.85
2082.75,445.95,461.3
